State,County,Day,Month,Year,Date,HPAI Strain,Order,Bird Species,WOAH Classification,Sampling,Sampling Method,Submitting Agency
Maine,Penobscot,24,1,2023,24/01/2023,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maryland,Dorchester,31,1,2023,31/01/2023,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maryland,Dorchester,31,1,2023,31/01/2023,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Delaware,Kent,16,2,2022,16/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Maine,Washington,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New Haven,23,2,2022,23/02/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New London,9,3,2022,09/03/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Connecticut,New London,9,3,2022,09/03/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,30,3,2022,30/03/2022,EA H5,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Vermont,Chittenden,13,9,2022,13/09/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Louisiana,Catahoula,19,10,2022,19/10/2022,EA H5N1,Gruiformes,African crowned crane,Captive wild bird,Agency,Agency harvest,NWDP
Ohio,Ottawa,28,10,2022,28/10/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Wyoming,Converse,4,10,2022,04/10/2022,EA H5N1,Anseriformes,Wood duck,Wild bird,Agency,Agency harvest,NWDP
New York,Seneca,12,12,2022,12/12/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
New York,Seneca,12,12,2022,12/12/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
New York,Seneca,12,12,2022,12/12/2022,EA H5N1,Anseriformes,American black duck,Wild bird,Agency,Agency harvest,NWDP
Indiana,Gibson,7,12,2022,07/12/2022,EA H5N1,Gruiformes,American coot,Wild bird,Agency,Agency harvest,NWDP
Colorado,Douglas,4,1,2023,04/01/2023,EA H5N1,Gruiformes,American crow,Captive wild bird,Live bird,Hunter harvest,NWDP
Minnesota,Hennepin,4,1,2023,04/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter Harvest,NWDP
Minnesota,Hennepin,4,1,2023,04/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter Harvest,NWDP
Minnesota,Hennepin,4,1,2023,04/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter harvest,NWDP
Kansas,Wabaunsee,20,1,2023,20/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter harvest,NWDP
Oregon,Multnomah,24,1,2023,24/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter Harvest,NWDP
Minnesota,Hennepin,27,1,2023,27/01/2023,EA H5N1,Gruiformes,American crow,Wild bird,Live bird,Hunter harvest,NWDP
North Carolina,Pamlico,26,1,2022,26/01/2022,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Alabama,Limestone,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Alabama,Limestone,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
Louisiana,La Salle,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter Harvest,NWDP
South Carolina,Colleton,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
South Carolina,Colleton,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
South Carolina,Colleton,4,1,2023,04/01/2023,EA H5N1,Anseriformes,American green-winged teal,Wild bird,Live bird,Hunter harvest,NWDP
